word,bengaliMeaning,pronunciation,example,exampleBengali,difficulty,level,partOfSpeech,Type of sentence,Type of tense
critics,সমালোচক,/krˈɪtɪks/,Scientists are still examining the critics closely.,বিজ্ঞানীরা এখনো সমালোচক খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Continuous
Cropping,ছোট করা/ফসল তোলা,/krˈɑpɪŋ/,They cropping this issue every single day.,তারা প্রতিদিন এই বিষয়টি ছোট করা/ফসল তোলা করে।,Medium,IELTS Band 6-7,verb,Simple,Present Simple
cross,পার হওয়া,/krˈɔs/,Researchers have studied this cross for many years.,গবেষকরা বহু বছর ধরে এই পার হওয়া নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Crowded,ঘনবসতিপূর্ণ,/krˈaʊdʌd/,Experts have crowdeded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি ঘনবসতিপূর্ণ করে আসছেন।,Medium,IELTS Band 6-7,verb,Simple,Present Perfect
Crucial,গুরুত্বপূর্ণ,/krˈuʃʌl/,It is crucial to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া গুরুত্বপূর্ণ।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Cruise,সমুদ্র ভ্রমণ,/krˈuz/,The team is cruising new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় সমুদ্র ভ্রমণ করছে।,Easy,IELTS Band 5-6,verb,Simple,Present Continuous
Culmination,উন্নতির চরম সীমায়,/kʌlmʌnˈeɪʃʌn/,"Because of the culmination, the whole plan had to change.",উন্নতির চরম সীমায়-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
culprits,অপরাধী/ অভিযুক্ত ব্যক্তি,/kˈʌlprɪts/,The article discusses the culprits in great detail.,প্রবন্ধটিতে অপরাধী/ অভিযুক্ত ব্যক্তি নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Cure,নিরাময়,/kjˈʊr/,Scientists are still examining the cure closely.,বিজ্ঞানীরা এখনো নিরাময় খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Curing,নিরাময়,/kjˈʊrɪŋ/,She curinged the problem before anyone noticed.,কেউ লক্ষ্য করার আগেই সে সমস্যাটি নিরাময় করেছিল।,Easy,IELTS Band 5-6,verb,Simple,Past Simple
curious,কৌতুহলী,/kjˈʊriʌs/,It is curious to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া কৌতুহলী।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Cushion,কুশন,/kˈʊʃʌn/,"Although the cushion seemed minor, it changed everything.","যদিও কুশন বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium,IELTS Band 6-7,noun,Complex,Past Simple
Damp,স্যাঁতসেঁতে,/dˈæmp/,Every student should understand the damp before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর স্যাঁতসেঁতে সম্পর্কে বোঝা উচিত।,Easy,IELTS Band 5-6,noun,Simple,Present Simple
daredevils,ডেয়ারডেভিল,/dˈɛrdɛvʌlz/,The daredevils will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে ডেয়ারডেভিল বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Daunting,ভয়ঙ্কর,/dˈɔntɪŋ/,"Because they dauntinged early, the project succeeded.","যেহেতু তারা আগেই ভয়ঙ্কর করেছিল, প্রকল্পটি সফল হয়েছিল।",Medium,IELTS Band 6-7,verb,Complex,Past Simple
Debilitating,দুর্বল করা,/dʌbˈɪlʌteɪtɪŋ/,They debilitating this issue every single day.,তারা প্রতিদিন এই বিষয়টি দুর্বল করে।,Hard,IELTS Band 7-9,verb,Simple,Present Simple
Debris,ধ্বংসাবশেষ,/dʌbrˈi/,Scientists are still examining the debris closely.,বিজ্ঞানীরা এখনো ধ্বংসাবশেষ খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Decay,ক্ষয় প্রাপ্ত হওয়া,/dɪkˈeɪ/,The decay was clearly explained in the report.,প্রতিবেদনে ক্ষয় প্রাপ্ত হওয়া বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Easy,IELTS Band 5-6,noun,Simple,Past Simple
Deceiving,প্রতারণা/ ছলনাপূর্ণ,/dɪsˈivɪŋ/,"If we act now, we can deceiving this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি প্রতারণা/ ছলনাপূর্ণ করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
Decipher,পাঠোদ্ধার করা,/dɪsˈaɪfɜr/,"Although the decipher seemed minor, it changed everything.","যদিও পাঠোদ্ধার করা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium,IELTS Band 6-7,noun,Complex,Past Simple
Decisive,সিদ্ধান্তমূলক,/dɪsˈaɪsɪv/,"Because the situation was so decisive, everyone took notice.",পরিস্থিতিটি এতটাই সিদ্ধান্তমূলক ছিল যে সবাই লক্ষ্য করেছিল।,Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Decorations,সঙ্জা,/dɛkɜrˈeɪʃʌnz/,The decorations will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে সঙ্জা বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Dedicate,উৎসর্গ করা,/dˈɛdʌkeɪt/,They dedicate this issue every single day.,তারা প্রতিদিন এই বিষয়টি উৎসর্গ করে।,Hard,IELTS Band 7-9,verb,Simple,Present Simple
Deep,গভীর,/dˈip/,The article discusses the deep in great detail.,প্রবন্ধটিতে গভীর নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Easy,IELTS Band 5-6,noun,Simple,Present Simple
Deeper,গভীর,/dˈipɜr/,Scientists are still examining the deeper closely.,বিজ্ঞানীরা এখনো গভীর খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Deficient,অভাবগ্রস্ত,/dɪfˈɪʃʌnt/,The area has become increasingly deficient in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ অভাবগ্রস্ত হয়ে উঠেছে।,Medium,IELTS Band 6-7,adjective,Simple,Present Perfect
Define,সঠিকভাবে বর্ণনা করা,/dɪfˈaɪn/,Researchers have studied this define for many years.,গবেষকরা বহু বছর ধরে এই সঠিকভাবে বর্ণনা করা নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Definite,নির্দিষ্ট,/dˈɛfʌnʌt/,"Although the definite seemed minor, it changed everything.","যদিও নির্দিষ্ট বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard,IELTS Band 7-9,noun,Complex,Past Simple
Definitive,নির্ধারক,/dɪfˈɪnɪtɪv/,It is definitive to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া নির্ধারক।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Deforestation,বন নিধন,/dɪfɔrɪstˈeɪʃʌn/,The deforestation will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে বন নিধন বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Defying,অস্বীকার,/dɪfˈaɪɪŋ/,She defyinged the problem before anyone noticed.,কেউ লক্ষ্য করার আগেই সে সমস্যাটি অস্বীকার করেছিল।,Medium,IELTS Band 6-7,verb,Simple,Past Simple
Degrade,মর্যাদাহানিকর,/dɪgrˈeɪd/,The article discusses the degrade in great detail.,প্রবন্ধটিতে মর্যাদাহানিকর নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Delay,বিলম্ব,/dɪlˈeɪ/,Scientists are still examining the delay closely.,বিজ্ঞানীরা এখনো বিলম্ব খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Delegate,প্রতিনিধি,/dˈɛlʌgeɪt/,The team is delegating new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় প্রতিনিধি করছে।,Hard,IELTS Band 7-9,verb,Simple,Present Continuous
Delicate,সুন্ম/নাজুক,/dˈɛlʌkʌt/,"Next year, the company will delicate this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা সুন্ম/নাজুক করবে।,Hard,IELTS Band 7-9,verb,Simple,Future Simple
Delighted,আনন্দিত,/dɪlˈaɪtʌd/,"Because they delighteded early, the project succeeded.","যেহেতু তারা আগেই আনন্দিত করেছিল, প্রকল্পটি সফল হয়েছিল।",Medium,IELTS Band 6-7,verb,Complex,Past Simple
Delve into,অনুসন্ধান করা,,Every student should understand the delve into before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর অনুসন্ধান করা সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Dementia,উন্মাদনা,/dɪmˈɛnʃiʌ/,The dementia will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে উন্মাদনা বড় ভূমিকা রাখবে।,Medium,IELTS Band 6-7,noun,Simple,Future Simple
Demolition,ধ্বংস,/dɛmʌlˈɪʃʌn/,"Because of the demolition, the whole plan had to change.",ধ্বংস-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Demonstrated,প্রদর্শিত,/dˈɛmʌnstreɪtɪd/,"If we act now, we can demonstrated this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি প্রদর্শিত করতে পারবো।,Hard,IELTS Band 7-9,verb,Complex,Present Simple
Dens,গুহা,/dˈɛnz/,Scientists are still examining the dens closely.,বিজ্ঞানীরা এখনো গুহা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
denser,ঘন,/dˈɛnsɜr/,The denser was clearly explained in the report.,প্রতিবেদনে ঘন বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Easy,IELTS Band 5-6,noun,Simple,Past Simple
Denying,অস্বীকার করা,/dɪnˈaɪɪŋ/,"Because they denyinged early, the project succeeded.","যেহেতু তারা আগেই অস্বীকার করেছিল, প্রকল্পটি সফল হয়েছিল।",Medium,IELTS Band 6-7,verb,Complex,Past Simple
departure,প্রস্থান,/dɪpˈɑrtʃɜr/,"Although the departure seemed minor, it changed everything.","যদিও প্রস্থান বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard,IELTS Band 7-9,noun,Complex,Past Simple
depending,নির্ভর করা/ভরসা করা,/dɪpˈɛndɪŋ/,She dependinged the problem before anyone noticed.,কেউ লক্ষ্য করার আগেই সে সমস্যাটি নির্ভর করা/ভরসা করেছিল।,Medium,IELTS Band 6-7,verb,Simple,Past Simple
Depicted,বর্ণনা করা,/dɪpˈɪktʌd/,Experts have depicteded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি বর্ণনা করে আসছেন।,Medium,IELTS Band 6-7,verb,Simple,Present Perfect
Depictions,প্রতিকৃতি,/dɪpˈɪkʃʌnz/,"Because of the depictions, the whole plan had to change.",প্রতিকৃতি-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Deprivation,বঞ্চনা,/dɛprʌvˈeɪʃʌn/,The article discusses the deprivation in great detail.,প্রবন্ধটিতে বঞ্চনা নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Deprive of,থেকে বঞ্চিত করা,,Scientists are still examining the deprive of closely.,বিজ্ঞানীরা এখনো থেকে বঞ্চিত করা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Continuous
depths,গভীরতা,/dˈɛpθs/,The depths was clearly explained in the report.,প্রতিবেদনে গভীরতা বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Easy,IELTS Band 5-6,noun,Simple,Past Simple
Derive,উৎস,/dɜrˈaɪv/,"Because the situation was so derive, everyone took notice.",পরিস্থিতিটি এতটাই উৎস ছিল যে সবাই লক্ষ্য করেছিল।,Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Derive BES,করা,,"Although the derive bes seemed minor, it changed everything.","যদিও করা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard,IELTS Band 7-9,noun,Complex,Past Simple
Descend,নেমে আসা,/dɪsˈɛnd/,Every student should understand the descend before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর নেমে আসা সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Descendant,বংশধর,/dɪsˈɛndʌnt/,"Although it looked descendant, the plan actually worked.","যদিও এটি বংশধর মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Descendants,উত্তরপুরুষ,/dɪsˈɛndʌnts/,"Because of the descendants, the whole plan had to change.",উত্তরপুরুষ-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Desert,মরুভূমি,/dˈɛzɜrt/,The article discusses the desert in great detail.,প্রবন্ধটিতে মরুভূমি নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Easy,IELTS Band 5-6,noun,Simple,Present Simple
Despoiled,হরণ করা,,"Because they despoileded early, the project succeeded.","যেহেতু তারা আগেই হরণ করেছিল, প্রকল্পটি সফল হয়েছিল।",Medium,IELTS Band 6-7,verb,Complex,Past Simple
Destroy,ধ্বংস করা,/dɪstrˈɔɪ/,The destroy was clearly explained in the report.,প্রতিবেদনে ধ্বংস করা বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Detach,বিচ্ছিন করা,/dˈɪtætʃ/,Researchers have studied this detach for many years.,গবেষকরা বহু বছর ধরে এই বিচ্ছিন করা নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Detailed,বিশদ,/dɪtˈeɪld/,Experts have detaileded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি বিশদ করে আসছেন।,Medium,IELTS Band 6-7,verb,Simple,Present Perfect
Deter,বাধা,/dɪtˈɜr/,Every student should understand the deter before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর বাধা সম্পর্কে বোঝা উচিত।,Easy,IELTS Band 5-6,noun,Simple,Present Simple
Deteriorate,অবনতি,/dɪtˈɪriɜreɪt/,The team is deteriorating new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় অবনতি করছে।,Hard,IELTS Band 7-9,verb,Simple,Present Continuous
Determined,নির্ধারিত,/dɪtˈɜrmʌnd/,"Next year, the company will determined this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা নির্ধারিত করবে।,Hard,IELTS Band 7-9,verb,Simple,Future Simple
Deterred,নিরুৎসাহিত করা,/dɪtˈɜrd/,"Because they deterreded early, the project succeeded.","যেহেতু তারা আগেই নিরুৎসাহিত করেছিল, প্রকল্পটি সফল হয়েছিল।",Medium,IELTS Band 6-7,verb,Complex,Past Simple
detour,বাঁক/ ঘোরান পথ,/dɪtˈʊr/,Scientists are still examining the detour closely.,বিজ্ঞানীরা এখনো বাঁক/ ঘোরান পথ খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Devastate,ধ্বংস করা,/dˈɛvʌsteɪt/,She devastated the problem before anyone noticed.,কেউ লক্ষ্য করার আগেই সে সমস্যাটি ধ্বংস করেছিল।,Hard,IELTS Band 7-9,verb,Simple,Past Simple
Devastation,ধ্বংস,/dɛvʌstˈeɪʃʌn/,Researchers have studied this devastation for many years.,গবেষকরা বহু বছর ধরে এই ধ্বংস নিয়ে গবেষণা করেছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Perfect
Developed,উন্নত,/dɪvˈɛlʌpt/,"If we act now, we can developed this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি উন্নত করতে পারবো।,Hard,IELTS Band 7-9,verb,Complex,Present Simple
Deviasted,বিচ্যুত,,The team is deviasteding new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় বিচ্যুত করছে।,Medium,IELTS Band 6-7,verb,Simple,Present Continuous
Devise,উদ্ভাবন করা/পরিকল্পনা করা,/dɪvˈaɪz/,"Next year, the company will devise this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা উদ্ভাবন করা/পরিকল্পনা করবে।,Medium,IELTS Band 6-7,verb,Simple,Future Simple
Devising,উদ্ভাবন,/dɪvˈaɪzɪŋ/,"Because they devisinged early, the project succeeded.","যেহেতু তারা আগেই উদ্ভাবন করেছিল, প্রকল্পটি সফল হয়েছিল।",Medium,IELTS Band 6-7,verb,Complex,Past Simple
Dialogue,সংলাপ,/dˈaɪʌlɔg/,The article discusses the dialogue in great detail.,প্রবন্ধটিতে সংলাপ নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Diametrically,সম্পূর্ণভাবে,/daɪʌmˈɛtrɪkʌli/,"Because she worked diametrically, she finished on time.",সে সম্পূর্ণভাবে কাজ করেছিল বলে সময়মতো শেষ করতে পেরেছিল।,Hard,IELTS Band 7-9,adverb,Complex,Past Simple
Dichotomy,দ্বিধাবিভক্তি,/daɪkˈɑtʌmi/,The dichotomy was clearly explained in the report.,প্রতিবেদনে দ্বিধাবিভক্তি বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Dictation,নির্দেশ,/dɪktˈeɪʃʌn/,Researchers have studied this dictation for many years.,গবেষকরা বহু বছর ধরে এই নির্দেশ নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Diet,খাদ্য,/dˈaɪʌt/,"Although the diet seemed minor, it changed everything.","যদিও খাদ্য বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Easy,IELTS Band 5-6,noun,Complex,Past Simple
Differently,ভিন্নভাবে,/dˈɪfrʌntli/,"Because she worked differently, she finished on time.",সে ভিন্নভাবে কাজ করেছিল বলে সময়মতো শেষ করতে পেরেছিল।,Hard,IELTS Band 7-9,adverb,Complex,Past Simple
differing,ভিন্ন,/dˈɪfɜrɪŋ/,"Because they differinged early, the project succeeded.","যেহেতু তারা আগেই ভিন্ন করেছিল, প্রকল্পটি সফল হয়েছিল।",Medium,IELTS Band 6-7,verb,Complex,Past Simple
Difficult,কঠিন,/dˈɪfʌkʌlt/,"Because of the difficult, the whole plan had to change.",কঠিন-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Digest,পরিপাক করা,/daɪdʒˈɛst/,The article discusses the digest in great detail.,প্রবন্ধটিতে পরিপাক করা নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Easy,IELTS Band 5-6,noun,Simple,Present Simple
dignitaries,বিশিষ্ট ব্যক্তি ?,/dˈɪgnʌtɛriz/,Scientists are still examining the dignitaries closely.,বিজ্ঞানীরা এখনো বিশিষ্ট ব্যক্তি ? খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Continuous
Dignitary,গণ্যমান্য ব্যক্তি,/dˈɪgnʌtɛri/,The result was extremely dignitary.,ফলাফলটি অত্যন্ত গণ্যমান্য ব্যক্তি ছিল।,Medium,IELTS Band 6-7,adjective,Simple,Past Simple
dilemma,দ্বিধা/ উভয়সঙ্কট,/dɪlˈɛmʌ/,Researchers have studied this dilemma for many years.,গবেষকরা বহু বছর ধরে এই দ্বিধা/ উভয়সঙ্কট নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Dilemmas,উভয়সঙ্কট,/dʌlˈɛmʌz/,"Although the dilemmas seemed minor, it changed everything.","যদিও উভয়সঙ্কট বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium,IELTS Band 6-7,noun,Complex,Past Simple
Dip,ডুবানো,/dˈɪp/,Every student should understand the dip before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর ডুবানো সম্পর্কে বোঝা উচিত।,Easy,IELTS Band 5-6,noun,Simple,Present Simple
Disabled,অক্ষম,/dɪsˈeɪbʌld/,They disabled this issue every single day.,তারা প্রতিদিন এই বিষয়টি অক্ষম করে।,Medium,IELTS Band 6-7,verb,Simple,Present Simple
Disadvantage,অসুবিধা,/dɪsʌdvˈæntɪdʒ/,"Because of the disadvantage, the whole plan had to change.",অসুবিধা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Disappointed,হতাশ,/dɪsʌpˈɔɪntɪd/,Experts have disappointeded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি হতাশ করে আসছেন।,Hard,IELTS Band 7-9,verb,Simple,Present Perfect
Disappointment,হতাশা,/dɪsʌpˈɔɪntmʌnt/,It is disappointment to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া হতাশা।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Disapproval,অনুমোদনহীনতা,/dɪsʌprˈuvʌl/,"Although it looked disapproval, the plan actually worked.","যদিও এটি অনুমোদনহীনতা মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Discards,বাতিল,/dɪskˈɑrdz/,Researchers have studied this discards for many years.,গবেষকরা বহু বছর ধরে এই বাতিল নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Discern,বুঝতে পারা,/dɪsˈɜrn/,"Although the discern seemed minor, it changed everything.","যদিও বুঝতে পারা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium,IELTS Band 6-7,noun,Complex,Past Simple
disciplines,শৃঙ্খলা,/dˈɪsʌplʌnz/,Every student should understand the disciplines before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর শৃঙ্খলা সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Discourteous,অভদ্র,,The result was extremely discourteous.,ফলাফলটি অত্যন্ত অভদ্র ছিল।,Hard,IELTS Band 7-9,adjective,Simple,Past Simple
Discredited,অসম্মানিত,/dɪskrˈɛdɪtɪd/,Experts have discrediteded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি অসম্মানিত করে আসছেন।,Hard,IELTS Band 7-9,verb,Simple,Present Perfect
Discussions,আলোচনা,/dɪskˈʌʃʌnz/,The article discusses the discussions in great detail.,প্রবন্ধটিতে আলোচনা নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Disinfectant,জীবাণুনাশক,/dɪsɪnfˈɛktʌnt/,Most experts consider this method quite disinfectant.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ জীবাণুনাশক মনে করেন।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Dismal,হতাশাজনক,/dˈɪzmʌl/,The area has become increasingly dismal in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ হতাশাজনক হয়ে উঠেছে।,Easy,IELTS Band 5-6,adjective,Simple,Present Perfect
Dismantled Et,করা,,Researchers have studied this dismantled et for many years.,গবেষকরা বহু বছর ধরে এই করা নিয়ে গবেষণা করেছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Perfect
Dismantles of,করা,,"Although the dismantles of seemed minor, it changed everything.","যদিও করা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard,IELTS Band 7-9,noun,Complex,Past Simple
Disorder,এলোমেলো,/dɪsˈɔrdɜr/,Every student should understand the disorder before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর এলোমেলো সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Disorganisation,অব্যবস্থাপনা,,The disorganisation will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে অব্যবস্থাপনা বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Disparate,ভিন্ন,/dˈɪspɜrɪt/,"If we act now, we can disparate this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি ভিন্ন করতে পারবো।,Hard,IELTS Band 7-9,verb,Complex,Present Simple
Disparity,বৈষম্য,/dɪspˈɛrʌti/,The article discusses the disparity in great detail.,প্রবন্ধটিতে বৈষম্য নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
dispersed,বিচ্ছুরিত/ বিক্ষিপ্ত,/dɪspˈɜrst/,"Next year, the company will dispersed this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা বিচ্ছুরিত/ বিক্ষিপ্ত করবে।,Medium,IELTS Band 6-7,verb,Simple,Future Simple
Displacement,স্থানচ্যুতি,/dɪsplˈeɪsmʌnt/,The result was extremely displacement.,ফলাফলটি অত্যন্ত স্থানচ্যুতি ছিল।,Hard,IELTS Band 7-9,adjective,Simple,Past Simple
Disposal,নিষ্পত্তি,/dɪspˈoʊzʌl/,It is disposal to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া নিষ্পত্তি।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Dispose,নিষ্পত্তি করা,/dɪspˈoʊz/,"Although the dispose seemed minor, it changed everything.","যদিও নিষ্পত্তি করা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium,IELTS Band 6-7,noun,Complex,Past Simple
Disposes,মীমাংসা করা,/dɪspˈoʊzɪz/,Every student should understand the disposes before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর মীমাংসা করা সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Disprove,মিথ্যা প্রমাণ করা,/dɪsprˈuv/,The disprove will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে মিথ্যা প্রমাণ করা বড় ভূমিকা রাখবে।,Medium,IELTS Band 6-7,noun,Simple,Future Simple
Disrepair,জরাজীর্ণ,/dɪsrɪpˈɛr/,"Because of the disrepair, the whole plan had to change.",জরাজীর্ণ-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Dissatisfied,অসন্তুষ্ট,/dɪsˈætʌsfaɪd/,"Next year, the company will dissatisfied this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা অসন্তুষ্ট করবে।,Hard,IELTS Band 7-9,verb,Simple,Future Simple
